time,teplota
614,"68,6"
615,"68,6"
616,"68,66"
617,"68,6"
618,"68,52"
619,"68,5"
620,"68,37"
621,"68,3"
622,"68,3"
623,"68,13"
624,"68,09"
625,"68,07"
626,"67,93"
627,"67,82"
628,"67,76"
629,"67,66"
630,"67,57"
631,"67,33"
632,"67,21"
633,"67,13"
634,"67,06"
635,67
636,"66,96"
637,"66,83"
638,"66,79"
639,"66,73"
640,"66,61"
641,"66,55"
642,"66,5"
643,"66,48"
644,"66,43"
645,"66,36"
646,"66,46"
647,"66,4"
648,"66,31"
649,"66,3"
650,"66,16"
651,"66,13"
652,"66,09"
653,"66,01"
654,66
655,"65,9"
656,"65,9"
657,"65,8"
658,"65,78"
659,"65,72"
660,"65,59"
661,"65,43"
662,"65,3"
663,"65,22"
664,"65,21"
665,"65,11"
666,"65,1"
667,"65,09"
668,"65,01"
669,65
670,"64,93"
671,"64,88"
672,"64,88"
673,"64,81"
674,"64,83"
675,"64,67"
676,"64,85"
677,"64,84"
678,"64,79"
679,"64,78"
680,"64,72"
681,"64,66"
682,"64,61"
683,"64,6"
684,"64,54"
685,"64,56"
686,"64,5"
687,"64,44"
688,"64,43"
689,"64,41"
690,"64,32"
691,"64,13"
692,"64,09"
693,64
694,64
695,64
696,"63,93"
697,"63,86"
698,"63,84"
699,"63,8"
700,"63,8"
701,"63,8"
702,"63,76"
703,"63,73"
704,"63,7"
705,"63,72"
706,"63,71"
707,"63,8"
708,"63,8"
709,"63,79"
710,"63,77"
711,"63,82"
712,"63,7"
713,"63,66"
714,"63,6"
715,"63,6"
716,"63,54"
717,"63,54"
718,"63,49"
719,"63,49"
720,"63,18"
721,"62,98"
722,"62,9"
723,"62,85"
724,"62,81"
725,"63,12"
726,"63,1"
727,"63,13"
728,"63,14"
729,"63,23"
730,"63,24"
731,"63,39"
732,"63,37"
733,"63,48"
734,"63,57"
735,"63,7"
736,"63,91"
737,"64,03"
738,"64,06"
739,"64,17"
740,"64,29"
741,"64,36"
742,"64,43"
743,"64,53"
744,"64,61"
745,"64,7"
746,"64,68"
747,"64,94"
748,65
749,"65,05"
750,"65,03"
751,"65,09"
752,"65,12"
753,"65,28"
754,"65,32"
755,"65,5"
756,"65,58"
757,"65,6"
758,"65,77"
759,"65,85"
760,"65,89"
761,66
762,"66,13"
763,"66,19"
764,"66,33"
765,"66,54"
766,"66,71"
767,"66,78"
768,"66,84"
769,"66,95"
770,"67,05"
771,"67,13"
772,"67,17"
773,"67,27"
774,"67,3"
775,"67,42"
776,"67,5"
777,"67,5"
778,"67,62"
779,"67,71"
780,"67,59"
781,"67,57"
782,"67,69"
783,"67,77"
784,"67,84"
785,"67,94"
786,"67,96"
787,"68,03"
788,"68,09"
789,"68,16"
790,"68,26"
791,"68,25"
792,"68,38"
793,"68,48"
794,"68,59"
795,"68,79"
796,"68,82"
797,"68,95"
798,"68,99"
799,"69,02"
800,"69,06"
801,"69,12"
802,"69,16"
803,"69,27"
804,"69,3"
805,"69,34"
806,"69,44"
807,"69,42"
808,"69,54"
809,"69,39"
810,"69,4"
811,"69,48"
812,"69,53"
813,"69,53"
814,"69,6"
815,"69,64"
816,"69,74"
817,"69,82"
818,"69,85"
819,"69,88"
820,"69,89"
821,"69,96"
822,"70,06"
823,"70,04"
824,"70,29"
825,"70,36"
826,"70,37"
827,"70,45"
828,"70,54"
829,"70,56"
830,"70,59"
831,"70,6"
832,"70,62"
833,"70,73"
834,"70,79"
835,"70,75"
836,"70,83"
837,"70,94"
838,"70,77"
839,"70,72"
840,"70,76"
841,"71,09"
842,"71,1"
843,"71,1"
844,"71,1"
845,"70,93"
846,"70,9"
847,"70,86"
848,"70,8"
849,"70,74"
850,"70,67"
851,"70,62"
852,"70,58"
853,"70,63"
854,"70,6"
855,"70,52"
856,"70,48"
857,"70,37"
858,"70,29"
859,"70,19"
860,"70,1"
861,70
862,"69,9"
863,"69,8"
864,"69,69"
865,"69,6"
866,"69,5"
867,"69,46"
868,"69,14"
869,"69,1"
870,"68,99"
871,"68,9"
872,"68,8"
873,"68,73"
874,"68,6"
875,"68,55"
876,"68,5"
877,"68,37"
878,"68,3"
879,"68,25"
880,"68,16"
881,"68,08"
882,"68,1"
883,"68,1"
884,"68,09"
885,68
886,"67,95"
887,"67,83"
888,"67,8"
889,"67,71"
890,"67,6"
891,"67,57"
892,"67,5"
893,"67,4"
894,"67,38"
895,"67,3"
896,"67,2"
897,"66,99"
898,"66,89"
899,"66,8"
900,"66,8"
901,"66,71"
902,"66,6"
903,"66,6"
904,"66,5"
905,"66,5"
906,"66,49"
907,"66,33"
908,"66,31"
909,"66,3"
910,"66,2"
911,"66,31"
912,"66,3"
913,"66,3"
914,"66,26"
915,"66,17"
916,"66,11"
917,"66,09"
918,"66,06"
919,66
920,66
921,"65,9"
922,"65,83"
923,"65,8"
924,"65,78"
925,"65,62"
926,"65,48"
927,"65,45"
928,"65,4"
929,"65,3"
930,"65,3"
931,"65,33"
932,"65,22"
933,"65,2"
934,"65,11"
935,"65,09"
936,"65,19"
937,"65,09"
938,65
939,65
940,"65,09"
941,"65,08"
942,"65,09"
943,"65,09"
944,"65,02"
945,65
946,65
947,"64,97"
948,"64,97"
949,"64,88"
950,"64,8"
951,"64,79"
952,"64,79"
953,"64,7"
954,"64,53"
955,"64,5"
956,"64,49"
957,"64,42"
958,"64,37"
959,"64,3"
960,"64,29"
961,"64,1"
962,"64,06"
963,"64,02"
964,"64,01"
965,"64,01"
966,"64,09"
967,"64,14"
968,"64,2"
969,"64,43"
970,"64,53"
971,"64,5"
972,"64,56"
973,"64,58"
974,"64,63"
975,"64,74"
976,"64,79"
977,"64,94"
978,"65,01"
979,"65,06"
980,"65,13"
981,"65,23"
982,"65,28"
983,"65,19"
984,"65,29"
985,"65,33"
986,"65,49"
987,"65,62"
988,"65,71"
989,"65,75"
990,"65,84"
991,"65,97"
992,"66,03"
993,"66,11"
994,"66,25"
995,"66,33"
996,"66,47"
997,"66,64"
998,"66,82"
999,"66,88"
1000,"66,96"
1001,"67,06"
1002,"67,14"
1003,"67,21"
1004,"67,34"
1005,"67,4"
1006,"67,51"
1007,"67,58"
1008,"67,64"
1009,"67,71"
1010,"67,8"
1011,"67,7"
1012,"67,76"
1013,"67,83"
1014,"67,91"
1015,"67,93"
1016,68
1017,"68,14"
1018,"68,13"
1019,"68,18"
1020,"68,29"
1021,"68,41"
1022,"68,5"
1023,"68,57"
1024,"68,6"
1025,"68,63"
1026,"69,01"
1027,"69,01"
1028,"69,02"
1029,"69,13"
1030,"69,24"
1031,"69,24"
1032,"69,32"
1033,"69,4"
1034,"69,46"
1035,"69,5"
1036,"69,62"
1037,"69,56"
1038,"69,63"
1039,"69,74"
1040,"69,59"
1041,"69,59"
1042,"69,63"
1043,"69,73"
1044,"69,78"
1045,"69,81"
1046,"69,88"
1047,"69,9"
1048,"69,95"
1049,70
1050,"70,02"
1051,"70,12"
1052,"70,08"
1053,"70,23"
1054,"70,45"
1055,"70,56"
1056,"70,54"
1057,"70,54"
1058,"70,62"
1059,"70,65"
1060,"70,74"
1061,"70,81"
1062,"70,83"
1063,"70,87"
1064,"70,94"
1065,"70,97"
1066,71
1067,"70,96"
1068,"70,84"
1069,"70,88"
1070,"70,97"
1071,"71,03"
1072,"71,04"
1073,"71,08"
1074,"71,12"
1075,"71,13"
1076,"71,15"
1077,"71,13"
1078,"71,28"
1079,"71,36"
1080,"71,42"
1081,"71,47"
1082,"71,59"
1083,"71,59"
1084,"71,59"
1085,"71,59"
1086,"71,64"
1087,"71,6"
1088,"71,59"
1089,"71,51"
1090,"71,5"
1091,"71,41"
1092,"71,33"
1093,"71,26"
1094,"71,13"
1095,"71,08"
1096,"70,86"
1097,"70,76"
1098,"70,62"
1099,"70,58"
1100,"70,5"
1101,"70,44"
1102,"70,31"
1103,"70,28"
1104,"70,11"
1105,"70,09"
1106,70
1107,"69,92"
1108,"69,83"
1109,"69,8"
1110,"69,8"
1111,"69,8"
1112,"69,71"
1113,"69,67"
1114,"69,6"
1115,"69,53"
1116,"69,49"
1117,"69,34"
1118,"69,3"
1119,"69,3"
1120,"69,12"
1121,"69,1"
1122,69
1123,"68,99"
1124,"68,79"
1125,"68,6"
1126,"68,48"
1127,"68,5"
1128,"68,4"
1129,"68,34"
1130,"68,3"
1131,"68,27"
1132,"68,1"
1133,"68,1"
1134,"68,03"
1135,68
1136,"67,97"
1137,"67,85"
1138,"67,99"
1139,68
1140,"67,99"
1141,"67,71"
1142,"67,81"
1143,"67,8"
1144,"67,76"
1145,"67,68"
1146,"67,63"
1147,"67,6"
1148,"67,5"
1149,"67,5"
1150,"67,43"
1151,"67,4"
1152,"67,21"
1153,"67,1"
1154,"67,03"
1155,67
1156,"66,98"
1157,"66,93"
1158,"66,86"
1159,"66,82"
1160,"66,8"
1161,"66,73"
1162,"66,71"
1163,"66,63"
1164,"66,64"
1165,"66,6"
1166,"66,76"
1167,"66,8"
1168,"66,69"
1169,"66,64"
1170,"66,6"
1171,"66,6"
1172,"66,6"
1173,"66,55"
1174,"66,5"
1175,"66,47"
1176,"66,47"
1177,"66,39"
1178,"66,33"
1179,"66,3"
1180,"66,17"
1181,"66,07"
1182,"66,02"
1183,66
1184,66
1185,"65,99"
1186,"65,9"
1187,"65,89"
1188,"65,89"
1189,"65,8"
1190,"65,8"
1191,"65,8"
1192,"65,8"
1193,"65,78"
1194,"65,89"
1195,"65,9"
1196,"65,84"
1197,"65,81"
1198,"65,8"
1199,"65,8"
1200,"65,78"
